CLIENTE_NUMBER	FX_IDADE	CEP_GRUPO_RISCO	FX_RENDA	INDICADOR_RESTRITIVO	QTDE_CONSULTAS_CREDITO	RESPOSTA
163	(5) >=46	(2) baixo	(5) 5001 a 7000	0	0	0
164	(3) 35 a 39	(5) altissimo	(3) De 1500 a 2500	0	2	1
165	sem informacao	(5) altissimo	(2) <1500	0	0	0
166	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	0	0
167	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	0	0
168	sem informacao	(5) altissimo	(1) nao informado	0	0	0
169	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
170	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	1	0
171	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
172	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	1	0
173	(1) <=24	(3) medio	(2) <1500	0	0	0
174	(1) <=24	(4) alto	(5) 5001 a 7000	0	3 ou mais	1
175	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	0	0
176	sem informacao	(5) altissimo	(1) nao informado	0	0	0
177	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	1	0
178	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	0	0
179	sem informacao	(5) altissimo	(1) nao informado	0	0	0
180	(4) 40 a 45	(2) baixo	(5) 5001 a 7000	0	1	0
181	(4) 40 a 45	(5) altissimo	(4) De 2501 a 5000	0	0	1
182	(1) <=24	(4) alto	(3) De 1500 a 2500	0	0	1
183	(2) 25 a 34	(2) baixo	(5) 5001 a 7000	1	1	0
184	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	3 ou mais	0
185	(5) >=46	(5) altissimo	(2) <1500	0	1	0
186	(5) >=46	(3) medio	(3) De 1500 a 2500	0	1	0
187	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	0
188	(1) <=24	(2) baixo	(4) De 2501 a 5000	0	0	0
189	(5) >=46	(3) medio	(6) >7000	0	0	0
190	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	1
191	(3) 35 a 39	(2) baixo	(4) De 2501 a 5000	0	1	0
192	sem informacao	(5) altissimo	(1) nao informado	0	1	0
193	(4) 40 a 45	(4) alto	(2) <1500	0	0	0
194	(5) >=46	(4) alto	(3) De 1500 a 2500	0	1	0
195	(4) 40 a 45	(3) medio	(4) De 2501 a 5000	0	1	0
196	(2) 25 a 34	(2) baixo	(4) De 2501 a 5000	0	2	0
197	(5) >=46	(5) altissimo	(4) De 2501 a 5000	0	0	0
198	sem informacao	(5) altissimo	(1) nao informado	0	0	0
199	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	0	0
200	(5) >=46	(3) medio	(4) De 2501 a 5000	0	1	0
201	(2) 25 a 34	(3) medio	(5) 5001 a 7000	0	2	1
202	(5) >=46	(5) altissimo	(3) De 1500 a 2500	1	3 ou mais	0
203	(3) 35 a 39	(3) medio	(5) 5001 a 7000	0	1	0
204	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	3 ou mais	0
205	sem informacao	(2) baixo	(5) 5001 a 7000	0	0	0
206	(1) <=24	(5) altissimo	(1) nao informado	0	0	0
207	(5) >=46	(3) medio	(3) De 1500 a 2500	0	1	0
208	(4) 40 a 45	(4) alto	(3) De 1500 a 2500	0	1	0
209	(2) 25 a 34	(4) alto	(4) De 2501 a 5000	0	1	0
210	(2) 25 a 34	(3) medio	(5) 5001 a 7000	0	0	0
211	sem informacao	(5) altissimo	(1) nao informado	0	0	0
212	sem informacao	(5) altissimo	(3) De 1500 a 2500	0	1	0
213	(1) <=24	(4) alto	(3) De 1500 a 2500	0	1	0
214	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	1	0
215	(4) 40 a 45	(3) medio	(6) >7000	0	1	0
216	(2) 25 a 34	(3) medio	(4) De 2501 a 5000	0	0	0
217	(5) >=46	(2) baixo	(4) De 2501 a 5000	0	1	0
218	(2) 25 a 34	(2) baixo	(6) >7000	0	0	0
219	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	0	0
220	(5) >=46	(2) baixo	(6) >7000	0	2	0
221	sem informacao	(5) altissimo	(1) nao informado	0	0	1
222	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	0	0
223	(5) >=46	(5) altissimo	(2) <1500	0	0	0
224	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	0	0
225	(5) >=46	(5) altissimo	(4) De 2501 a 5000	0	0	0
226	(5) >=46	(4) alto	(5) 5001 a 7000	0	0	0
227	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	1	0
228	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	0	0
229	(2) 25 a 34	(3) medio	(3) De 1500 a 2500	0	2	0
230	sem informacao	(4) alto	(3) De 1500 a 2500	0	1	0
231	(5) >=46	(2) baixo	(6) >7000	0	3 ou mais	0
232	(5) >=46	(2) baixo	(3) De 1500 a 2500	0	2	0
233	sem informacao	(3) medio	(3) De 1500 a 2500	0	2	0
234	(5) >=46	(3) medio	(4) De 2501 a 5000	0	1	0
235	(4) 40 a 45	(3) medio	(5) 5001 a 7000	0	2	0
236	(5) >=46	(4) alto	(3) De 1500 a 2500	0	2	0
237	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	1	0
238	(4) 40 a 45	(5) altissimo	(4) De 2501 a 5000	0	3 ou mais	1
239	sem informacao	(5) altissimo	(2) <1500	0	0	0
240	(1) <=24	(5) altissimo	(3) De 1500 a 2500	0	0	0
241	(5) >=46	(2) baixo	(6) >7000	0	0	0
242	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	1	0
243	(5) >=46	(3) medio	(5) 5001 a 7000	0	1	0
244	sem informacao	(4) alto	(3) De 1500 a 2500	0	0	0
245	(3) 35 a 39	(2) baixo	(3) De 1500 a 2500	0	0	1
246	sem informacao	(5) altissimo	(1) nao informado	0	0	0
247	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	0	0
248	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	2	1
249	(5) >=46	(4) alto	(4) De 2501 a 5000	0	2	0
250	(5) >=46	(3) medio	(3) De 1500 a 2500	0	0	0
251	(4) 40 a 45	(3) medio	(3) De 1500 a 2500	0	0	0
252	sem informacao	(4) alto	(2) <1500	0	1	1
253	sem informacao	(5) altissimo	(1) nao informado	0	0	0
254	(5) >=46	(4) alto	(3) De 1500 a 2500	0	0	0
255	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	1	1
256	(5) >=46	(3) medio	(4) De 2501 a 5000	0	0	0
257	(4) 40 a 45	(4) alto	(3) De 1500 a 2500	0	0	0
258	(3) 35 a 39	(3) medio	(4) De 2501 a 5000	0	0	1
259	sem informacao	(5) altissimo	(1) nao informado	0	0	0
260	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	1	0
261	(3) 35 a 39	(4) alto	(4) De 2501 a 5000	0	0	0
262	(3) 35 a 39	(5) altissimo	(3) De 1500 a 2500	0	0	1
263	sem informacao	(5) altissimo	(1) nao informado	0	1	0
264	(5) >=46	(4) alto	(3) De 1500 a 2500	0	0	0
265	(3) 35 a 39	(2) baixo	(6) >7000	0	0	0
266	sem informacao	(5) altissimo	(1) nao informado	0	2	0
267	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	0	1
268	(5) >=46	(3) medio	(5) 5001 a 7000	0	0	0
269	(2) 25 a 34	(3) medio	(5) 5001 a 7000	0	2	0
270	(5) >=46	(1) baissiximo	(6) >7000	0	1	0
271	(2) 25 a 34	(4) alto	(3) De 1500 a 2500	0	0	0
272	sem informacao	(5) altissimo	(1) nao informado	0	0	0
273	(1) <=24	(2) baixo	(3) De 1500 a 2500	0	2	1
274	(2) 25 a 34	(5) altissimo	(5) 5001 a 7000	0	1	0
